=== SWANPASS REVIEW AUDIT REPORT ===
Date: 2026-03-08T08:39:00.761Z
Total listings: 454

LISTING                                                SOURCE_URL                                                    API_CT  BEFORE   AFTER  STATUS
101-premier-massage                                    https://swanpass.com/listing/101-premier-massage                  75      75      75  PASS
heaven                                                 https://swanpass.com/listing/heaven                               38      38      38  PASS
spanky-s                                               https://swanpass.com/listing/spanky-s                            132     132     132  PASS
daisuki-massage-by-lolita                              https://swanpass.com/listing/daisuki-massage-by-lolita           251     251     251  PASS
unreal-bar                                             https://swanpass.com/listing/unreal-bar                            2       2       2  PASS
erotic-tantra-massage                                  https://swanpass.com/listing/erotic-tantra-massage                14      14      14  PASS
utamaro-22-bangkok                                     https://swanpass.com/listing/utamaro-22-bangkok                   89      89      89  PASS
osaka                                                  https://swanpass.com/listing/osaka                                 6       6       6  PASS
soi-80                                                 https://swanpass.com/listing/soi-80                                0       0       0  PASS
dolphin-spa                                            https://swanpass.com/listing/dolphin-spa                          25      25      25  PASS
toy-box                                                https://swanpass.com/listing/toy-box                              51      51      51  PASS
atami-exclusive-club                                   https://swanpass.com/listing/atami-exclusive-club                  2       2       2  PASS
pudding-spa                                            https://swanpass.com/listing/pudding-spa                           2       2       2  PASS
ellie-house                                            https://swanpass.com/listing/ellie-house                           3       3       3  PASS
aurora-club                                            https://swanpass.com/listing/aurora-club                         181     181     181  PASS
tokimeki-thonglor-story                                https://swanpass.com/listing/tokimeki-thonglor-story               1       1       1  PASS
nutty-park                                             https://swanpass.com/listing/nutty-park                          159     159     159  PASS
akane                                                  https://swanpass.com/listing/akane                                56      56      56  PASS
godang-8                                               https://swanpass.com/listing/godang-8                            215     215     215  PASS
katherine-massage                                      https://swanpass.com/listing/katherine-massage                     0       0       0  PASS
pink-panther                                           https://swanpass.com/listing/pink-panther                        116     116     116  PASS
lips-sexxy-club                                        https://swanpass.com/listing/lips-sexxy-club                       6       0       6  PASS
dragon-lady-bkk-bangkok                                https://swanpass.com/listing/dragon-lady-bkk-bangkok               0       0       0  PASS
bamboo-massage-bangkok                                 https://swanpass.com/listing/bamboo-massage-bangkok               17      17      17  PASS
girlfriends                                            https://swanpass.com/listing/girlfriends                          18      18      18  PASS
red-angel                                              https://swanpass.com/listing/red-angel                             8       8       8  PASS
booze-club                                             https://swanpass.com/listing/booze-club                          292     292     292  PASS
biwa-cafe-massage                                      https://swanpass.com/listing/biwa-cafe-massage                    86      86      86  PASS
butterflies                                            https://swanpass.com/listing/butterflies                          45      45      45  PASS
picasso                                                https://swanpass.com/listing/picasso                               5       5       5  PASS
home-alone-outcall-massage-chiang-mai-chiang-mai       https://swanpass.com/listing/home-alone-outcall-massage-chiang-mai-chiang-mai      13      13      13  PASS
orchid                                                 https://swanpass.com/listing/orchid                                2       2       2  PASS
fortune-club                                           https://swanpass.com/listing/fortune-club                         34      34      34  PASS
addict-massage                                         https://swanpass.com/listing/addict-massage                      288     288     288  PASS
chairman-nuru-massage-bangkok                          https://swanpass.com/listing/chairman-nuru-massage-bangkok        38      38      38  PASS
office-massage-club                                    https://swanpass.com/listing/office-massage-club                  23      23      23  PASS
visa-club-phitsanulok                                  https://swanpass.com/listing/visa-club-phitsanulok                10      10      10  PASS
ladies-room                                            https://swanpass.com/listing/ladies-room                           1       1       1  PASS
1-2-some                                               https://swanpass.com/listing/1-2-some                              0       0       0  PASS
the-loft-30                                            https://swanpass.com/listing/the-loft-30                           1       1       1  PASS
roxy-bar-soi-6                                         https://swanpass.com/listing/roxy-bar-soi-6                       61      61      61  PASS
ginza-entertainment                                    https://swanpass.com/listing/ginza-entertainment                  18      18      18  PASS
lamai-beer-bars                                        https://swanpass.com/listing/lamai-beer-bars                      33       0      33  PASS
ako-spa                                                https://swanpass.com/listing/ako-spa                              47      47      47  PASS
casanova                                               https://swanpass.com/listing/casanova                              2       2       2  PASS
orient-massage                                         https://swanpass.com/listing/orient-massage                       17      17      17  PASS
club-fate                                              https://swanpass.com/listing/club-fate                            51      51      51  PASS
a-beautiful-day-bangkok                                https://swanpass.com/listing/a-beautiful-day-bangkok               1       1       1  PASS
butter-nawamin                                         https://swanpass.com/listing/butter-nawamin                        0       0       0  PASS
miyabi-old-mermaid                                     https://swanpass.com/listing/miyabi-old-mermaid                   13      13      13  PASS
sweets-lounge                                          https://swanpass.com/listing/sweets-lounge                         2       2       2  PASS
linda-massage-outcall                                  https://swanpass.com/listing/linda-massage-outcall                 0       0       0  PASS
madame-claude                                          https://swanpass.com/listing/madame-claude                         6       6       6  PASS
happy-hour                                             https://swanpass.com/listing/happy-hour                            3       3       3  PASS
cheongdam-massage                                      https://swanpass.com/listing/cheongdam-massage                     6       6       6  PASS
club-bell-bangkok                                      https://swanpass.com/listing/club-bell-bangkok                    18       0      18  PASS
lola-love-massage-chiang-mai-2f008171-4599-4231-99e5-f28bde66ced0https://swanpass.com/listing/lola-love-massage-chiang-mai-2f008171-4599-4231-99e5-f28bde66ced0      82       0      82  PASS
wonder-massage                                         https://swanpass.com/listing/wonder-massage                       40      40      40  PASS
hakumi-nuru-massage-bangkok                            https://swanpass.com/listing/hakumi-nuru-massage-bangkok          67      67      67  PASS
u-club                                                 https://swanpass.com/listing/u-club                              120     120     120  PASS
rawhide                                                https://swanpass.com/listing/rawhide                               4       4       4  PASS
olivia-spa                                             https://swanpass.com/listing/olivia-spa                           29      29      29  PASS
yoni-massage-bangkok                                   https://swanpass.com/listing/yoni-massage-bangkok                  0       0       0  PASS
dozo-massage                                           https://swanpass.com/listing/dozo-massage                          1       1       1  PASS
tara-bangkok-soapy-massage                             https://swanpass.com/listing/tara-bangkok-soapy-massage            1       1       1  PASS
kiss2                                                  https://swanpass.com/listing/kiss2                                24      24      24  PASS
td-spa-vip-the-dormitory                               https://swanpass.com/listing/td-spa-vip-the-dormitory              2       2       2  PASS
wood-bar                                               https://swanpass.com/listing/wood-bar                             92      92      92  PASS
day-and-night-bar-complex                              https://swanpass.com/listing/day-and-night-bar-complex           104     104     104  PASS
pink-x-station                                         https://swanpass.com/listing/pink-x-station                      216     216     216  PASS
lady-love                                              https://swanpass.com/listing/lady-love                           140       0     140  PASS
nuru-massage-nanai-road                                https://swanpass.com/listing/nuru-massage-nanai-road             103     103     103  PASS
caviar-spa                                             https://swanpass.com/listing/caviar-spa                            0       0       0  PASS
glamor-nuru-massage                                    https://swanpass.com/listing/glamor-nuru-massage                  11      11      11  PASS
arena-spa                                              https://swanpass.com/listing/arena-spa                             0       0       0  PASS
julia-spa                                              https://swanpass.com/listing/julia-spa                             0       0       0  PASS
kinnaree-spa-rangsit                                   https://swanpass.com/listing/kinnaree-spa-rangsit                  7       7       7  PASS
dream-massage                                          https://swanpass.com/listing/dream-massage                       162     162     162  PASS
slutz-gc-boomerang                                     https://swanpass.com/listing/slutz-gc-boomerang                    1       1       1  PASS
